2026-04-08 09:07:48,857 WARNING CSV parser attempt failed | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'utf-8-sig', 'sep': None, 'engine': 'python'}, 'error': 'Expected 21 fields in line 3, saw 25'}
2026-04-08 09:07:48,857 INFO Trying CSV parser | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'cp1252'}}
2026-04-08 09:07:48,858 WARNING CSV parser attempt failed | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'cp1252'}, 'error': 'Error tokenizing data. C error: Expected 21 fields in line 3, saw 25\n'}
2026-04-08 09:07:48,858 INFO Trying CSV parser | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'cp1252', 'sep': None, 'engine': 'python'}}
2026-04-08 09:07:48,858 WARNING CSV parser attempt failed | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'cp1252', 'sep': None, 'engine': 'python'}, 'error': 'Expected 21 fields in line 3, saw 25'}
2026-04-08 09:07:48,859 INFO Trying CSV parser | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'loose', 'options': {'encoding': 'utf-8-sig'}}
2026-04-08 09:07:48,860 INFO CSV file loaded successfully | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'rows': 6, 'columns': ['DeviceDBID', 'HubeleonID', 'DeviceName', 'DeviceOrganisation', 'DeviceManufacturer', 'DeviceModel', 'DeviceStatus', 'LocationName', 'LocationAddress', 'LocationPostcode', 'Longitude', 'Latitude', 'NumberOfUses', 'TotalEnergyProvided', 'MPAN', 'PurchaseDate', 'Warranty_Months', 'Install_Date', 'NextMaintenanceDate', 'Iccid', 'AdditionalInfo', 'extra_column_22', 'extra_column_23', 'extra_column_24', 'extra_column_25']}
2026-04-08 09:07:48,860 INFO Starting revenue/devices processing | {'revenue_rows': 162, 'devices_rows': 6, 'segmented': False, 'selected_commercial_partners': []}
2026-04-08 09:07:49,100 INFO Building Excel output | {'organisation': 'Spelthorne Borough Council', 'year': 2026, 'quarter': 1, 'agg_rows': 5, 'raw_rows': 162, 'segmented': False, 'selected_commercial_partners': []}
2026-04-08 09:07:49,171 INFO Excel output built successfully | {'organisation': 'Spelthorne Borough Council', 'output_size_bytes': 42341}
2026-04-08 09:07:49,177 INFO Revenue/devices processing completed | {'organisation': 'Spelthorne Borough Council', 'year': 2026, 'quarter': 1, 'chargers': 5, 'total_sessions': 162, 'dropped_count': 0}
